date,or_model,aa_slug,provider,variant,or_date,tps_median,throughput_tps,tps_ratio,aa_latency_s,latency_s,lat_ratio
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Parasail,,2026-09-07,139.6,101.0,1.382,1.25,2.426,0.515
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,DigitalOcean,,2026-09-07,112.8,19.0,5.937,1.068,3.266,0.327
2026-09-07,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Makora,,2026-09-07,103.3,112.0,0.922,2.309,0.468,4.934
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,CoreWeave,,2026-09-08,124.1,75.0,1.655,1.685,0.585,2.88
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Wafer,FAST,2026-09-08,153.6,91.0,1.688,0.717,0.598,1.199
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,DeepSeek,,2026-09-08,127.8,80.0,1.598,0.924,0.959,0.964
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Parasail,,2026-09-08,26.5,42.0,0.631,3.46,0.764,4.529
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Fireworks,,2026-09-08,274.8,66.0,4.164,0.616,0.981,0.628
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,SiliconFlow,,2026-09-08,95.3,61.0,1.562,1.787,1.552,1.151
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,BaseTen,,2026-09-08,161.3,53.0,3.043,0.94,0.683,1.376
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,GMICloud,,2026-09-08,108.9,96.0,1.134,2.244,1.886,1.19
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Novita,,2026-09-08,128.9,69.0,1.868,1.625,1.552,1.047
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,DeepInfra,,2026-09-08,40.1,24.0,1.671,0.936,0.857,1.092
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,DigitalOcean,,2026-09-08,45.8,29.0,1.579,0.934,0.632,1.478
2026-09-08,deepseek/deepseek-v4-flash-20260731,deepseek-v4-flash,Makora,,2026-09-08,87.9,43.0,2.044,1.146,1.093,1.048
2026-09-08,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,DeepInfra,FP4,2026-09-08,32.9,32.0,1.028,1.181,0.666,1.773
2026-09-08,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,SiliconFlow,FP8,2026-09-08,128.3,55.0,2.333,1.358,1.492,0.91
2026-09-08,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,Parasail,FP8,2026-09-08,73.7,44.0,1.675,1.734,0.749,2.315
2026-09-08,deepseek/deepseek-v4-flash-20260423,deepseek-v4-flash-0420,Novita,,2026-09-08,119.9,47.0,2.551,2.066,1.486,1.39
2026-09-08,tencent/hy3-20260706,hy3,Novita,,2026-09-08,105.4,61.0,1.728,2.339,2.42,0.967
2026-09-08,tencent/hy3-20260706,hy3,DeepInfra,FP8,2026-09-08,98.3,64.0,1.536,1.012,0.711,1.423
2026-09-08,tencent/hy3-20260706,hy3,GMICloud,,2026-09-08,86.5,30.0,2.883,3.173,2.032,1.562
2026-09-08,openai/gpt-5.6-luna-20260709,gpt-5-6-luna,OpenAI,,2026-09-08,120.2,69.0,1.742,171.714,2.17,
