date,or_model,aa_slug,host,variant,provider,price_1m_input,price_1m_output,cache_hit_price,cache_hit_rate,tps_median,tps_p05,tps_p95,ttft_median,ttft_p05,ttft_p95,ttfat_input_s,reasoning_s,ttfat_total_s,e2e_s,json_mode,function_calling
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Nebius,,Nebius,0.15,0.5,,,318.6,245.5,382.0,0.523,0.465,2.597,0.523,6.277,6.8,8.37,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,DigitalOcean,,DigitalOcean,0.15,0.5,0.03,0.95,89.1,47.5,148.4,1.042,0.811,7.497,1.042,22.441,23.484,29.09,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Inco,FAST,Inco,0.15,0.5,0.03,0.8,464.1,369.0,613.0,0.8,0.65,72.415,0.8,4.309,5.109,6.19,1,1
2026-09-06,z-ai/glm-5.3-flash-20260826,glm-5-3-flash,Makora,,Makora,0.07,0.235,,,101.9,58.3,120.6,1.45,0.755,6.774,1.45,19.625,21.075,25.98,1,1
2026-09-06,xiaomi/mimo-v2.5-20260422,mimo-v2-5-0424,Novita,,Novita,0.168,0.336,0.0034,0.9967,54.4,35.3,96.6,2.655,1.336,69.534,2.655,36.798,39.453,48.65,1,1
2026-09-06,xiaomi/mimo-v2.5-20260422,mimo-v2-5-0424,DeepInfra,,DeepInfra,0.4,2.0,0.08,0.9951,20.2,7.1,63.1,1.428,0.703,4.791,1.428,98.908,100.336,125.06,1,1
2026-09-06,xiaomi/mimo-v2.5-20260422,mimo-v2-5-0424,GMI,,GMICloud,0.112,0.224,0.002,0.8164,,,,,,,,,,,1,1
2026-09-06,xiaomi/mimo-v2.5-20260422,mimo-v2-5-0424,Xiaomi,,Xiaomi,0.14,0.28,0.0028,0.9934,53.6,37.6,117.8,4.126,2.077,18.102,4.126,37.322,41.449,50.78,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,CoreWeave,,CoreWeave,0.75,2.75,0.15,1.0,247.2,99.5,321.1,1.033,0.616,1.35,1.033,9.202,10.236,12.26,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,GMI,,GMICloud,0.8,2.6,0.1,,,,,,,,,,,,1,0
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,DeepInfra,,DeepInfra,0.5,2.2,0.1,0.3281,42.7,13.9,137.3,6.885,2.775,128.539,6.885,53.237,60.122,71.82,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,DeepInfra,BF16,DeepInfra,1.0,5.0,0.3,0.4119,31.6,9.2,127.8,11.314,6.179,63.547,11.314,71.973,83.287,99.11,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,Nebius,,Nebius,1.0,3.0,,0.0,329.5,250.1,475.8,2.487,1.892,3.263,2.487,6.905,9.392,10.91,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,Lightning AI,,Lightning AI,0.41,1.2,,0.7126,,,,,,,,,,,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,Blackbox AI,,Blackbox AI,0.32,0.8,,0.7052,,,,,,,,,,,1,1
2026-09-06,nvidia/nemotron-3-ultra-550b-a55b-20260604:free,nvidia-nemotron-3-ultra-550b-a55b,Fireworks,,Fireworks,0.6,2.4,0.12,0.9998,164.2,128.2,186.3,0.626,0.562,1.729,0.626,13.854,14.48,17.53,1,1
2026-09-06,google/gemini-3.6-flash-20260721,gemini-3-6-flash,Google AI Studio,,Google AI Studio,0.75,3.75,0.15,0.8921,213.1,150.9,273.7,14.236,8.462,55.804,14.236,0.0,14.236,16.58,1,1
2026-09-06,anthropic/claude-opus-5-20260723,claude-opus-5,Amazon Bedrock,,Amazon Bedrock,5.0,25.0,0.5,0.9967,56.0,43.6,70.5,70.762,10.76,162.752,70.762,0.0,70.762,79.69,0,1
2026-09-06,anthropic/claude-opus-5-20260723,claude-opus-5,Anthropic,,Anthropic,5.0,25.0,0.5,0.9967,57.5,43.0,74.1,62.064,8.975,184.235,62.064,0.0,62.064,70.76,0,1
2026-09-06,anthropic/claude-opus-5-20260723,claude-opus-5,Google,,Google,5.0,25.0,0.5,0.9,59.9,43.1,73.8,80.687,24.812,140.69,80.687,0.0,80.687,89.04,0,1
2026-09-06,anthropic/claude-sonnet-5-20260630,claude-sonnet-5,Google,,Google,2.0,10.0,0.2,0.9282,85.2,58.6,111.5,181.57,77.287,260.77,181.57,0.0,181.57,187.44,0,1
2026-09-06,anthropic/claude-sonnet-5-20260630,claude-sonnet-5,Microsoft Azure,,Azure,2.0,10.0,0.2,0.9999,83.1,58.7,94.1,174.164,77.117,279.054,174.164,0.0,174.164,180.18,0,1
2026-09-06,anthropic/claude-sonnet-5-20260630,claude-sonnet-5,Anthropic,,Anthropic,2.0,10.0,0.2,0.9905,90.1,67.9,103.7,184.726,63.863,264.452,184.726,0.0,184.726,190.27,0,1
2026-09-06,anthropic/claude-sonnet-5-20260630,claude-sonnet-5,Amazon Bedrock,,Amazon Bedrock,2.0,10.0,0.2,0.9598,85.0,67.4,100.8,225.308,63.707,291.709,225.308,0.0,225.308,231.19,0,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Fireworks,,Fireworks,3.0,15.0,0.3,0.5123,113.9,93.7,121.5,0.981,0.935,1.801,0.981,17.558,18.539,22.93,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Fireworks,FAST,Fireworks,4.5,22.5,0.45,0.7227,113.4,104.5,117.8,0.987,0.935,3.598,0.987,17.643,18.63,23.04,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Modal,,Modal,3.0,15.0,0.3,0.9997,147.1,62.8,213.5,0.867,0.771,1.325,0.867,13.593,14.46,17.86,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Together AI,,Together,3.0,15.0,0.3,0.6585,67.5,37.2,88.9,0.848,0.659,3.249,0.848,29.644,30.492,37.9,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,DigitalOcean,,DigitalOcean,2.85,14.25,0.285,0.9,42.5,34.3,46.1,1.199,1.121,1.413,1.199,47.114,48.313,60.09,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Baseten,,BaseTen,3.0,15.0,0.3,0.9732,79.4,48.8,117.5,0.845,0.594,2.757,0.845,25.2,26.045,32.34,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Parasail,,Parasail,3.0,15.0,0.3,0.9177,61.6,19.6,198.2,1.803,1.631,3.109,1.803,32.444,34.248,42.36,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Makora,,Makora,2.55,12.75,0.256,0.7573,44.2,17.7,134.9,2.99,1.226,25.942,2.99,45.198,48.188,59.49,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Nebius,,Nebius,3.0,15.0,,1.0,143.1,26.0,212.5,1.54,1.465,256.533,1.54,13.979,15.519,19.01,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Databricks,,Databricks,3.0,15.0,0.3,0.9943,179.0,73.1,212.1,0.895,0.832,10.412,0.895,11.171,12.066,14.86,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Bitdeer AI,,Bitdeer AI,2.66,13.3,0.2755,0.8363,86.8,20.1,87.7,1.742,1.209,5.564,1.742,23.04,24.782,30.54,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Inco,FAST,Inco,6.0,30.0,0.6,0.99,261.1,204.3,394.7,0.962,0.818,38.732,0.962,7.66,8.622,10.54,1,1
2026-09-06,moonshotai/kimi-k3-20260715,kimi-k3,Kimi,,Moonshot AI,3.0,15.0,0.3,0.9744,41.6,28.9,48.7,3.524,2.674,6.599,3.524,48.068,51.592,63.61,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Parasail,MXFP8,Parasail,0.3,1.2,0.06,0.9908,111.7,53.2,299.0,1.053,0.681,6.845,1.053,17.912,18.964,23.44,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,CoreWeave,NVFP4,CoreWeave,0.23,0.96,0.05,0.9728,154.9,66.8,282.4,1.23,1.098,1.789,1.23,12.911,14.141,17.37,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Together AI,,Together,0.3,1.2,0.06,0.829,112.9,71.1,186.0,0.676,0.566,4.408,0.676,17.707,18.384,22.81,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Novita,,Novita,0.3,1.2,0.06,0.994,79.5,59.3,191.5,1.58,0.978,4.034,1.58,25.147,26.727,33.01,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Inco,FAST,Inco,0.3,1.2,0.075,0.9988,370.2,259.2,542.9,0.734,0.628,0.935,0.734,5.403,6.137,7.49,0,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Modular,,Modular,0.3,1.2,0.06,0.9954,224.3,100.9,270.6,1.25,0.413,2.844,1.25,8.916,10.166,12.39,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Nebius,FP8,Nebius,0.3,1.2,,0.9573,256.4,139.7,354.7,1.939,1.796,4.073,1.939,7.802,9.741,11.69,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,SiliconFlow,FP8,SiliconFlow,0.3,1.2,0.06,0.9988,115.9,56.9,224.9,1.121,0.8,3.049,1.121,17.253,18.374,22.69,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Bitdeer AI,,Bitdeer AI,0.28,1.1,0.056,0.8362,130.9,52.8,245.0,2.457,1.783,6.005,2.457,15.274,17.731,21.55,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,MiniMax,,Minimax,0.3,1.2,0.06,0.9728,88.7,44.5,243.2,1.335,0.788,3.071,1.335,22.539,23.874,29.51,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,DeepInfra,,DeepInfra,0.28,1.1,0.056,0.9863,26.8,17.7,61.7,0.898,0.631,2.503,0.898,74.72,75.618,94.3,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,GMI,,GMICloud,0.24,0.96,0.048,,,,,,,,,,,,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,SambaNova,,SambaNova,0.6,2.4,,,246.7,236.7,252.1,2.309,2.067,2.82,2.309,8.106,10.415,12.44,1,1
2026-09-06,minimax/minimax-m3-20260531,minimax-m3,Fireworks,,Fireworks,0.3,1.2,0.06,0.9687,148.5,117.3,233.0,0.86,0.719,2.587,0.86,13.465,14.325,17.69,1,1
2026-09-06,stepfun/step-3.7-flash-20260528,step-3-7-flash,StepFun,,StepFun,0.2,1.15,0.04,0.9881,84.3,49.9,170.2,2.985,2.356,10.952,2.985,23.729,26.714,32.65,1,1
2026-09-06,stepfun/step-3.7-flash-20260528,step-3-7-flash,DeepInfra,,DeepInfra,0.2,1.15,0.04,,168.4,123.4,202.1,0.669,0.555,2.334,0.669,11.879,12.547,15.52,0,1
